ns1:Value4,ns2:Watts
100,50
106,51
111,54
113,55
115,56
112,57
111,58
112,58
111,58
108,58
107,58
106,59
107,59
111,60
112,60
112,60
112,60
110,60
110,60
110,60
110,60
111,61
112,60
114,60
114,60
114,61
113,61
111,61
111,61
109,62
110,61
112,16
114,15
117,60
118,61
118,62
117,62
114,62
113,62
114,62
115,62
116,62
118,62
119,61
117,61
115,61
111,62
107,61
106,61
107,61
109,62
111,62
112,62
112,62
111,63
109,64
109,64
108,66
108,72
110,72
111,72
111,72
109,71
106,70
105,69
105,69
105,68
105,68
105,67
105,67
104,67
97,66
95,66
95,65
97,65
97,65
98,65
97,65
94,65
93,65
94,64
94,64
97,64
98,64
97,65
97,65
96,65
95,65
96,65
96,65
95,65
95,65
95,65
95,65
97,65
98,66
98,67
99,67
98,70
99,79
101,90
103,99
106,107
109,80
111,80
111,52
111,76
110,25
110,73
109,72
109,24
109,69
106,69
105,45
105,87
103,87
104,64
104,63
104,83
107,82
107,81
107,80
104,79
101,79
102,78
103,78
104,78
104,79
107,79
108,79
108,79
105,78
103,78
103,77
104,77
105,77
105,76
104,76
102,76
103,75
101,75
101,75
100,75
98,75
97,74
96,74
95,73
96,73
97,73
97,73
98,73
99,73
98,73
99,73
99,73
96,74
96,74
99,74
100,74
100,74
101,74
100,73
99,73
99,74
99,74
99,74
99,73
99,73
99,74
99,74
99,74
98,74
95,74
94,73
95,73
96,73
98,73
98,73
96,73
94,73
94,73
95,73
99,73
101,73
102,73
99,73
97,73
96,72
95,72
95,72
96,72
96,72
98,72
99,72
99,72
99,72
97,73
95,73
94,73
93,73
94,73
96,73
96,73
95,73
95,74
96,74
96,74
96,74
95,74
96,74
96,74
96,73
98,74
98,75
98,75
98,75
97,38
95,38
91,75
91,75
93,75
97,75
99,75
99,75
98,75
96,75
95,75
95,75
95,75
98,75
99,75
99,75
100,75
100,75
97,75
96,75
95,75
96,75
97,75
98,75
99,75
98,75
99,75
98,75
98,76
98,77
99,79
104,79
105,79
110,79
111,0
113,0
113,78
112,78
110,78
109,78
110,81
112,81
113,81
114,81
114,81
115,81
116,81
115,81
115,81
114,81
114,81
113,81
113,81
113,81
113,81
114,81
113,83
111,83
108,83
107,83
108,83
111,83
112,83
112,83
113,83
117,83
118,83
118,83
116,83
111,83
108,85
106,85
106,85
111,85
115,85
115,85
116,85
116,85
118,85
118,85
117,85
117,85
115,85
115,85
113,85
113,86
111,87
110,87
110,87
111,87
112,87
113,87
114,87
114,87
111,87
110,87
107,87
107,87
108,87
111,87
113,88
115,88
115,88
115,88
115,88
115,88
112,88
110,88
110,88
111,88
112,88
114,88
115,88
115,88
116,88
115,88
115,90
113,90
112,90
111,90
111,90
112,90
112,90
113,90
115,90
118,90
118,90
118,90
114,90
112,91
112,92
113,92
113,93
114,93
114,93
112,93
110,93
109,92
110,92
112,92
114,92
116,92
117,93
118,69
118,92
118,92
118,94
118,94
118,94
118,94
118,94
117,94
114,94
112,94
110,94
110,94
112,94
113,94
115,94
116,94
115,96
115,96
115,96
115,96
115,96
117,96
119,96
120,96
122,96
123,96
123,96
122,96
119,96
116,96
115,96
115,98
117,98
121,98
122,98
121,98
117,98
111,98
108,98
105,98
104,98
105,98
107,98
110,98
112,98
114,98
115,99
114,100
112,100
112,100
111,100
111,100
113,100
114,100
114,100
115,100
115,100
116,100
116,100
117,100
117,100
117,101
118,102
118,102
118,102
118,102
117,102
118,102
118,102
119,102
119,102
120,102
121,102
122,102
123,102
122,102
122,102
120,104
120,104
119,104
120,104
122,104
126,104
127,104
127,104
125,104
120,104
118,104
118,104
117,104
117,105
118,105
120,106
120,106
120,106
120,106
119,106
120,106
119,107
116,106
116,106
116,106
116,106
118,106
120,106
122,106
121,107
120,107
119,107
118,107
119,107
120,107
120,107
122,107
123,107
124,108
124,107
122,108
121,107
122,107
123,107
123,107
124,109
125,109
126,109
127,109
126,109
123,109
120,109
118,109
118,109
118,109
120,109
121,109
