ns1:Value4,ns2:Watts
105,70
107,79
110,77
112,76
112,76
110,76
109,76
109,75
107,76
104,76
105,76
105,76
109,75
110,75
110,76
110,78
110,76
108,77
105,78
104,78
104,78
103,78
103,78
104,78
104,79
107,79
109,79
109,78
109,78
109,78
109,78
110,78
110,78
109,81
110,81
109,79
110,79
110,81
111,80
113,80
114,80
114,80
114,79
114,79
114,80
114,81
115,80
115,82
116,83
116,83
115,82
112,82
111,82
107,81
107,81
107,82
109,83
111,83
112,81
112,81
112,82
109,83
106,83
105,84
105,83
104,84
105,84
106,84
107,84
107,84
107,84
107,84
106,84
106,85
107,85
107,85
107,84
108,84
109,85
110,86
110,86
111,87
111,86
109,86
107,87
106,86
107,86
109,86
110,85
109,86
109,86
109,87
110,88
110,88
105,88
103,88
102,87
103,89
102,88
99,88
96,88
91,88
90,88
93,89
97,89
101,88
103,88
103,89
101,89
99,88
98,90
98,89
99,88
100,88
104,89
105,90
106,89
108,89
108,89
107,89
107,90
108,91
108,90
109,89
111,91
110,90
109,91
109,92
109,91
107,91
106,91
107,90
108,91
108,91
108,91
107,91
106,91
106,91
107,93
108,93
108,93
109,93
110,92
110,93
112,93
113,93
114,92
113,92
111,95
110,95
109,93
110,93
110,94
111,94
112,95
114,95
114,95
113,95
113,95
109,96
108,96
107,96
109,95
110,94
111,96
112,95
113,94
113,95
114,99
112,98
111,96
110,97
110,96
110,97
110,99
113,98
115,97
115,97
115,96
116,97
116,97
116,97
112,98
112,100
106,100
107,98
109,75
111,49
113,49
113,105
111,102
110,102
109,102
110,98
111,97
113,97
115,99
117,101
117,102
117,102
114,100
112,100
110,100
109,101
108,102
110,101
110,101
112,100
113,101
114,101
115,101
114,102
114,102
111,103
110,103
110,103
111,103
111,103
111,102
111,104
111,103
109,103
109,104
108,105
109,104
109,103
107,103
108,104
108,104
112,105
114,104
115,105
115,107
111,106
108,104
103,104
103,105
103,105
106,106
109,105
111,105
112,105
113,106
113,107
112,106
112,108
111,107
111,107
111,106
111,107
113,108
114,107
113,107
113,108
113,107
114,106
115,107
116,108
116,107
115,107
115,107
115,109
116,108
118,108
118,108
118,108
117,108
116,109
116,108
116,108
116,108
116,109
118,111
118,110
119,109
120,110
119,110
119,110
118,111
117,110
117,110
118,110
118,110
118,111
118,111
118,110
114,109
112,110
112,111
113,114
115,112
116,112
117,113
117,113
118,112
119,112
119,113
119,112
118,110
118,110
116,112
115,115
114,115
115,114
117,114
118,113
119,117
120,117
121,114
120,114
120,113
120,114
120,115
120,114
122,113
122,112
121,112
119,116
118,118
118,118
119,113
119,113
119,113
120,113
120,114
122,116
124,115
125,117
125,114
124,115
124,115
124,115
125,115
125,114
125,114
125,114
122,115
115,114
114,113
114,113
115,114
115,114
115,115
114,114
114,114
114,114
114,114
115,114
115,114
116,114
117,114
117,115
118,114
118,114
117,114
117,114
116,114
117,114
118,114
118,114
118,114
118,115
118,115
118,114
117,113
117,114
117,114
116,114
116,115
117,115
117,114
117,113
117,114
118,114
119,114
120,114
118,115
118,114
117,114
117,115
117,116
117,115
118,114
118,114
119,114
119,113
118,114
118,114
118,113
119,113
119,114
119,114
119,114
118,114
118,113
116,113
115,114
114,115
114,114
115,114
116,114
117,114
117,114
117,114
117,114
118,115
119,114
119,114
119,114
119,114
119,114
118,114
118,115
119,114
120,114
121,114
122,114
122,114
121,114
119,114
117,114
116,114
115,115
115,114
115,114
115,114
114,114
114,114
113,114
113,114
113,114
113,114
112,116
113,114
115,113
117,114
118,114
120,114
123,114
123,114
125,114
125,114
123,114
122,114
119,114
118,115
119,114
120,113
121,115
123,114
124,114
124,115
125,115
125,114
124,114
124,114
124,114
123,114
124,114
125,114
125,114
125,114
124,114
124,114
124,114
124,115
122,114
122,114
122,114
121,114
122,114
123,115
123,114
124,114
125,114
125,114
125,114
125,114
124,114
124,114
124,114
125,114
126,114
126,114
126,114
126,114
126,114
126,113
126,113
126,113
125,114
123,115
123,114
123,114
123,114
123,114
123,114
124,114
123,114
123,115
123,114
123,114
122,114
122,114
123,114
123,115
123,114
124,115
125,115
126,114
127,114
122,114
122,114
124,114
124,114
124,114
122,114
122,114
121,114
121,114
121,114
122,115
123,114
123,114
125,114
127,114
126,115
124,114
123,114
122,114
122,114
122,114
124,114
124,114
122,114
121,114
119,114
119,114
120,116
122,114
123,114
122,114
123,114
123,114
123,114
123,114
123,114
123,114
124,114
124,114
124,114
124,115
125,114
125,114
124,114
124,114
124,114
124,114
124,114
124,114
123,114
123,114
124,115
124,115
125,115
125,114
124,114
121,114
120,114
120,114
121,115
123,114
125,114
125,114
126,114
125,114
123,114
121,114
119,115
120,115
120,114
123,113
123,113
125,114
126,114
125,114
123,114
123,114
121,114
121,114
121,114
121,113
121,114
122,115
123,114
124,114
125,114
125,114
126,115
127,114
127,114
127,114
126,114
125,153
125,153
123,151
123,153
124,152
125,152
127,152
128,152
129,152
130,152
130,152
129,152
129,153
129,153
130,152
130,152
130,152
130,152
130,152
130,152
130,151
130,151
129,152
128,155
129,152
132,152
133,152
133,152
129,152
127,152
123,152
120,152
120,152
119,151
120,151
122,152
124,153
126,152
126,152
127,152
127,152
127,152
127,153
127,152
127,152
127,152
127,151
127,151
128,152
128,152
128,152
128,153
129,153
129,152
130,152
130,152
130,152
130,152
130,152
131,152
131,153
125,161
126,181
128,182
129,180
130,180
130,179
131,180
131,179
132,179
132,180
132,180
132,180
132,182
132,181
132,181
132,181
133,180
133,180
134,179
135,179
136,181
138,180
139,181
138,180
136,180
135,180
135,180
135,180
135,180
135,180
136,180
136,104
135,104
134,104
134,104
134,104
134,104
134,105
135,104
135,104
134,104
134,104
134,104
135,104
135,104
135,104
134,104
133,104
133,104
132,104
131,104
130,104
129,104
128,104
128,104
127,104
126,104
126,105
127,105
127,105
127,104
126,105
126,144
127,155
128,153
128,152
129,152
130,152
131,152
132,151
133,152
134,152
135,152
136,152
136,152
136,152
136,152
135,152
135,152
135,152
135,152
135,152
135,152
136,153
136,152
136,152
135,152
134,152
134,152
135,152
135,152
134,152
133,151
132,151
131,152
130,152
130,154
132,153
133,153
134,152
135,152
137,152
137,151
138,152
138,152
137,152
136,152
135,152
135,152
136,152
135,152
135,153
135,153
135,152
136,152
137,152
137,152
137,151
137,151
137,152
137,152
137,153
137,153
138,166
138,199
138,200
