HR,Watts
99,42
100,63
101,63
100,91
101,92
101,90
103,89
104,92
105,90
107,88
106,45
106,45
106,49
106,100
106,100
107,94
108,92
109,91
109,91
109,91
109,91
109,91
109,91
109,93
109,91
110,90
111,92
112,91
112,91
112,91
111,92
111,92
111,93
111,94
110,94
110,93
111,93
111,93
112,101
112,100
113,94
113,93
114,92
113,93
112,93
113,93
113,94
114,94
115,94
116,95
116,94
117,94
118,94
119,95
120,94
121,95
121,98
122,93
121,93
121,95
120,95
119,95
118,97
119,97
120,97
121,97
122,97
122,97
122,97
122,97
121,96
120,97
119,97
119,98
118,97
118,98
117,99
116,99
115,99
115,100
113,99
111,99
110,98
109,99
110,105
111,101
112,97
114,97
114,98
113,100
113,99
112,99
113,100
113,101
113,101
114,101
114,101
115,102
115,101
116,101
116,101
116,101
116,101
116,101
116,101
115,101
115,102
115,103
115,103
115,103
115,103
115,102
115,104
115,105
114,106
114,102
114,101
116,101
117,102
118,103
119,103
118,105
118,106
118,105
117,105
117,105
116,104
116,105
117,106
118,105
120,105
121,106
120,106
121,105
119,104
119,104
119,106
119,108
120,107
120,106
121,106
121,108
121,108
121,108
120,106
120,106
120,107
120,107
121,108
121,107
121,108
122,108
122,109
122,110
122,111
122,110
122,109
121,109
120,108
121,108
121,108
121,109
121,109
121,110
121,111
120,110
120,110
121,110
121,110
121,112
122,112
122,111
122,110
122,111
122,111
121,112
119,111
118,111
118,111
119,111
119,111
119,111
118,113
117,115
116,116
115,115
115,115
115,113
116,113
117,112
118,113
119,114
119,112
120,113
120,113
119,113
119,114
119,115
120,116
120,116
120,116
119,115
119,115
119,115
119,115
119,119
120,115
120,116
121,115
120,114
120,115
119,116
120,116
120,116
121,117
121,117
122,118
122,118
122,117
123,116
123,117
122,116
123,116
123,116
124,117
124,117
125,117
125,119
125,118
125,118
125,120
125,119
125,119
125,119
125,119
125,119
125,119
126,120
126,120
126,120
126,118
125,119
125,120
125,122
125,121
125,120
126,120
126,125
126,122
126,121
125,120
123,124
121,120
120,118
120,119
120,121
121,121
122,121
124,121
125,122
126,123
127,123
127,122
127,123
126,122
126,122
126,122
126,122
127,122
127,122
125,122
124,124
123,125
122,123
123,123
122,125
123,125
123,124
124,124
124,124
124,123
125,123
125,123
124,125
123,124
124,125
124,125
125,126
124,126
124,126
123,126
123,63
122,23
118,23
117,23
116,0
117,0
117,0
117,0
118,0
118,0
119,0
119,0
120,0
120,0
119,0
116,185
116,185
117,193
118,94
119,39
119,31
121,31
122,68
124,104
124,93
125,79
124,85
123,67
121,78
121,78
121,82
121,82
121,78
121,127
121,127
120,96
119,84
118,82
119,129
119,130
120,131
120,131
121,131
121,130
121,131
121,131
121,133
121,129
121,129
122,132
122,132
123,132
123,132
123,133
123,134
123,134
123,133
123,133
123,133
123,134
124,133
124,133
125,133
125,132
125,134
124,134
124,134
123,134
122,136
123,137
123,137
124,133
124,134
124,136
123,135
123,136
123,136
124,135
124,134
125,134
126,136
126,137
127,137
127,137
127,137
126,137
126,137
127,138
128,139
127,138
128,138
128,137
128,137
128,137
129,138
129,139
130,139
130,139
129,138
129,138
129,139
129,139
129,139
129,140
130,139
130,141
130,141
130,141
129,141
128,141
128,141
128,140
128,140
129,141
129,140
130,141
131,140
132,140
133,140
134,142
134,141
134,141
135,141
136,142
135,142
136,141
135,142
136,142
136,143
137,143
137,144
136,143
136,143
136,143
136,144
137,144
137,143
137,143
136,143
137,143
137,145
136,146
137,145
137,145
137,145
137,147
136,147
136,145
136,145
136,144
137,144
137,144
138,145
138,145
139,146
140,147
140,147
140,146
141,146
140,147
141,147
141,148
141,147
141,147
142,148
142,153
142,153
141,153
140,146
139,146
137,149
135,149
134,149
134,149
133,150
133,150
132,149
132,149
132,149
132,150
132,150
132,148
133,149
133,149
133,148
133,151
133,151
133,151
133,150
133,151
131,151
130,151
130,152
130,151
129,151
129,150
129,150
130,154
130,152
130,151
131,154
131,154
132,154
132,154
131,153
129,153
129,153
129,153
129,152
129,151
129,152
129,152
129,151
129,153
129,153
130,157
131,157
132,155
133,155
134,155
135,155
135,154
135,154
135,154
135,155
135,154
135,155
135,155
135,157
135,156
135,157
135,160
136,159
136,156
135,155
135,155
134,154
134,156
133,161
134,157
134,156
135,159
136,157
137,157
137,158
138,160
138,160
138,160
139,159
139,158
139,160
140,159
140,158
140,159
140,159
140,160
139,160
139,160
139,161
140,158
140,158
141,161
141,161
141,160
141,161
141,161
140,161
139,162
138,159
137,159
137,162
137,162
137,160
137,163
136,163
137,163
136,162
136,165
136,164
137,163
137,164
137,163
137,163
138,163
138,163
138,163
138,163
138,162
138,163
137,165
137,164
137,165
137,166
137,165
137,166
137,166
137,166
137,165
138,165
138,165
139,165
139,166
139,166
139,166
139,166
139,168
140,167
140,167
140,167
141,167
141,167
141,166
141,179
141,183
141,179
141,179
142,180
142,177
142,178
142,176
142,177
142,177
142,178
142,178
142,177
142,177
143,177
143,178
143,180
143,180
143,178
142,176
143,178
143,180
143,180
144,177
144,177
146,179
146,178
147,178
148,179
148,179
149,186
149,216
149,210
149,209
149,210
149,211
150,210
150,211
150,213
150,210
150,210
150,211
150,209
151,209
151,211
151,211
152,212
152,210
152,211
152,212
153,211
153,209
153,209
153,211
153,211
153,209
153,209
153,209
152,213
152,213
152,213
151,211
150,180
149,178
149,178
149,178
149,178
149,178
150,178
150,178
151,178
151,180
152,178
152,178
152,179
152,177
152,177
152,177
152,178
151,178
151,178
151,177
151,177
151,178
150,177
150,178
150,178
150,178
150,178
150,176
150,178
150,178
149,178
149,178
149,238
149,235
149,235
149,232
147,233
147,235
147,236
147,236
148,232
148,232
148,239
149,239
149,234
149,236
149,236
150,235
151,233
151,233
152,233
151,235
152,234
152,234
152,235
153,232
153,233
154,235
154,231
155,234
155,234
155,234
155,234
155,177
155,177
155,178
155,179
155,179
155,179
155,177
155,177
154,180
154,180
154,180
155,180
155,179
156,179
156,176
156,179
156,178
155,178
155,179
155,178
154,178
154,178
154,176
154,180
154,178
154,177
153,178
153,178
153,178
153,199
153,247
153,246
154,246
154,243
154,245
154,245
155,242
154,242
154,242
154,242
153,247
153,246
153,243
153,248
153,248
153,244
154,244
154,249
154,243
155,243
155,245
156,248
156,248
156,244
157,244
157,244
157,246
158,243
158,242
158,242
158,242
159,112
159,111
158,110
158,112
158,111
158,109
158,111
158,112
159,112
159,111
159,111
159,112
159,111
159,110
158,111
158,111
158,111
158,111
158,111
159,111
159,111
159,111
159,111
159,113
160,111
159,111
159,109
159,110
158,110
156,111
155,112
154,112
154,111
154,111
154,111
153,111
152,110
152,111
152,112
151,111
152,111
152,111
152,111
152,111
153,111
154,111
154,111
154,111
154,111
153,111
153,111
152,111
151,111
151,112
151,112
151,111
151,111
150,110
149,112
149,112
147,111
147,111
147,111
147,111
148,110
147,111
146,111
145,111
143,111
142,112
139,112
139,110
139,111
139,111
139,111
139,112
139,111
139,111
139,111
139,111
140,112
140,112
140,111
139,111
139,111
139,111
138,111
138,112
138,112
139,111
138,111
138,112
138,111
138,111
137,111
137,111
137,111
137,113
138,114
139,112
138,112
138,112
137,108
136,108
136,110
136,111
137,111
137,110
137,111
138,111
139,111
141,112
141,114
142,112
143,112
142,112
140,109
138,111
138,111
138,111
138,111
140,116
141,114
142,114
143,114
142,114
141,116
141,114
140,114
139,114
138,113
138,115
138,114
138,115
138,113
138,133
137,158
138,157
138,155
139,156
140,156
140,156
140,159
140,157
140,156
140,157
139,158
139,156
139,156
139,156
139,156
139,158
139,185
139,197
139,196
140,196
141,196
141,196
142,195
143,195
143,195
144,196
144,196
143,195
143,194
143,196
142,196
142,196
142,196
142,196
143,196
143,196
144,196
145,195
146,197
