HR,Watts
96,75
96,57
96,0
94,40
93,79
99,78
104,78
106,78
112,78
112,77
107,77
103,77
102,79
101,78
103,78
108,78
112,79
115,78
117,78
118,78
119,78
119,78
119,78
119,78
120,78
121,78
121,78
121,39
121,59
120,78
119,79
119,79
116,80
114,60
111,61
109,81
108,81
108,80
108,80
109,80
109,80
109,79
110,79
111,79
111,79
111,79
110,79
110,81
111,81
111,81
111,82
110,82
110,81
111,81
112,81
113,81
114,81
117,81
120,81
120,81
119,81
115,62
113,84
107,83
106,83
108,83
109,82
111,82
111,82
112,82
112,82
112,82
112,82
111,82
111,82
112,83
113,84
114,85
115,84
116,84
115,84
113,84
111,84
108,84
107,84
106,84
106,84
108,84
110,84
112,84
113,84
111,86
110,86
107,86
107,86
107,86
109,88
110,86
111,86
112,86
111,86
110,87
110,86
110,65
110,86
111,86
112,87
113,88
113,88
112,88
112,88
110,88
108,88
108,88
108,88
108,88
108,88
110,89
111,89
113,88
116,88
116,89
112,89
106,89
105,89
104,89
104,89
105,89
107,89
109,88
111,89
111,89
111,89
111,90
111,89
110,89
110,89
111,91
113,91
113,91
116,91
117,91
118,91
118,91
117,91
116,91
116,91
115,91
114,91
114,91
114,91
113,91
113,93
112,93
113,93
114,93
114,93
114,93
113,93
112,94
111,93
112,93
113,93
113,93
113,93
113,93
114,94
116,94
116,94
116,95
116,94
116,94
116,94
107,94
108,94
113,94
115,94
115,94
112,94
106,94
106,95
102,94
102,96
105,96
109,96
111,97
113,96
116,96
117,96
117,96
116,96
115,96
115,96
115,96
116,96
117,96
116,96
114,96
112,98
112,98
109,100
110,99
112,97
115,98
116,98
117,98
117,98
115,98
114,98
113,98
113,98
114,99
115,99
116,99
117,99
116,99
115,100
114,99
114,101
115,99
114,98
115,99
116,99
118,99
119,99
119,99
120,100
121,101
121,100
119,101
116,101
113,101
112,101
112,102
113,101
114,101
115,100
116,101
117,101
117,101
116,101
116,103
115,103
116,103
116,103
116,105
118,103
118,103
119,102
116,102
116,103
116,103
113,103
111,103
110,103
110,103
111,103
112,103
113,104
113,105
113,104
112,105
110,104
110,104
111,104
113,104
114,104
114,106
116,104
116,104
117,104
118,104
119,106
120,106
120,106
120,106
119,106
119,106
116,106
115,106
115,106
115,106
116,106
117,106
118,106
119,106
121,108
121,108
121,108
118,108
116,108
115,108
114,109
115,108
117,108
119,108
119,108
120,108
121,108
120,108
119,108
118,108
117,110
118,110
119,109
119,109
119,109
119,109
119,109
119,112
120,109
123,108
125,108
126,109
123,109
120,110
118,112
113,112
113,111
114,111
115,111
116,111
115,111
114,111
113,111
113,111
113,111
113,111
115,112
116,111
116,111
116,113
115,113
115,113
115,113
114,113
113,114
113,112
113,113
113,113
114,113
112,113
111,113
111,114
112,114
113,114
113,113
113,113
114,114
116,114
117,114
118,114
118,114
117,114
116,114
113,114
112,114
112,114
112,115
113,114
115,114
117,115
118,116
118,116
118,116
117,116
116,116
115,117
115,116
115,116
116,116
118,116
118,116
119,116
119,116
119,116
119,116
119,117
120,119
121,118
123,118
122,118
120,118
119,118
119,118
119,118
119,118
119,119
120,117
121,117
121,118
121,119
121,119
119,119
118,119
117,120
