HR,Watts
151,233
152,233
152,233
153,236
153,237
154,234
155,234
155,234
156,233
156,234
157,234
157,236
158,233
159,235
159,233
159,232
159,232
159,232
159,231
158,30
158,0
157,90
156,121
155,122
155,122
154,123
154,121
153,122
153,122
153,123
154,122
154,122
155,122
155,123
156,122
156,121
157,122
157,122
157,122
157,122
157,122
157,122
157,123
157,122
157,122
157,124
157,121
157,121
157,122
156,126
154,168
153,179
152,180
151,180
150,178
150,178
150,177
150,178
150,178
151,178
151,178
151,179
152,179
151,178
151,178
151,178
152,177
152,178
152,178
151,178
151,178
151,179
151,177
151,177
151,178
152,178
152,179
152,177
153,178
154,178
155,178
155,178
155,177
155,177
155,179
154,177
154,179
154,179
154,179
154,178
154,178
154,178
155,177
155,178
155,177
155,178
155,178
155,178
155,179
156,177
156,178
156,178
157,178
157,180
157,178
157,177
158,178
158,178
158,178
158,178
159,178
159,257
159,256
160,256
160,256
160,254
161,256
162,257
162,256
163,255
163,255
163,257
163,256
163,254
164,255
163,257
164,256
164,256
165,255
165,255
165,255
165,256
166,257
166,255
166,256
166,255
166,254
166,257
165,257
165,257
165,254
165,251
164,154
164,122
163,122
163,122
162,122
162,122
162,121
161,122
161,123
161,123
161,122
160,123
160,123
159,122
159,122
159,122
158,123
158,123
158,122
158,122
157,122
156,122
154,123
154,122
154,122
155,122
155,122
155,122
155,122
154,122
153,122
153,121
152,122
152,122
151,123
150,122
150,122
149,122
148,123
148,122
148,122
148,121
148,121
147,122
147,122
146,123
147,122
147,122
148,122
149,122
150,122
150,122
151,122
151,122
152,122
153,122
153,122
153,121
153,122
152,122
152,122
152,122
153,122
153,122
153,123
152,122
152,122
152,122
152,122
152,122
152,122
152,122
152,122
152,122
152,122
152,122
151,121
151,123
150,123
150,122
149,122
148,122
145,121
144,121
142,122
140,123
140,123
140,122
140,122
138,121
136,122
135,122
135,122
135,122
135,122
135,122
135,122
135,123
135,122
135,122
135,122
136,122
137,122
137,123
138,122
138,121
139,122
139,121
139,122
138,123
137,121
135,123
135,122
136,122
137,122
137,122
136,123
135,123
134,123
134,121
135,121
135,121
136,123
135,122
135,121
134,122
133,122
131,121
131,121
131,123
130,122
130,122
130,121
130,122
130,122
130,122
129,123
129,123
129,122
128,122
