HR,Watts
100,89
100,89
100,89
100,89
102,91
102,91
102,0
102,22
102,22
101,92
101,90
101,88
102,89
102,89
105,89
105,90
105,89
109,91
109,91
107,91
107,91
107,91
104,91
104,91
102,92
102,91
102,91
101,91
101,91
103,91
103,92
103,91
103,93
103,93
103,93
103,93
103,93
107,93
107,93
109,93
109,93
109,93
108,93
108,93
107,93
107,93
107,94
109,95
109,95
109,95
109,94
109,95
109,95
109,95
108,96
108,98
108,95
108,95
108,96
106,96
106,95
106,95
106,95
106,97
106,97
106,97
106,97
105,97
105,97
105,97
105,97
105,97
106,96
106,97
106,97
106,97
106,97
106,100
106,99
109,98
109,98
109,98
112,98
112,99
114,100
114,99
114,99
114,99
114,100
114,100
113,99
113,99
113,99
113,101
116,101
116,101
116,101
115,101
115,101
112,101
112,101
112,101
111,101
111,101
111,101
111,101
111,101
111,101
111,103
109,103
109,103
109,103
109,103
109,103
108,103
108,103
108,103
108,103
108,103
107,103
107,103
107,104
106,105
106,105
106,105
106,105
106,104
107,105
107,106
107,106
107,105
107,105
108,105
108,105
109,106
109,106
109,106
109,107
109,107
110,107
110,107
110,107
111,107
111,107
112,107
112,107
112,107
113,107
113,107
113,107
113,107
113,107
112,109
112,110
110,109
110,108
110,109
111,109
111,109
109,109
109,109
109,109
108,109
108,109
110,109
110,109
110,109
109,111
109,111
111,111
111,111
111,111
111,111
111,112
109,111
109,111
109,111
109,111
109,111
111,111
111,111
111,112
111,113
111,113
111,113
111,114
111,113
111,113
111,113
112,113
112,113
112,113
111,113
111,113
112,112
112,113
112,114
112,115
112,115
111,115
111,115
111,115
111,116
111,115
113,115
113,115
113,115
113,115
113,114
114,115
114,115
114,117
116,117
116,117
117,118
117,117
117,117
116,117
116,117
115,117
115,117
115,117
115,117
115,117
116,117
116,117
116,118
116,119
116,118
115,118
115,119
115,119
114,119
114,119
115,119
115,119
115,119
115,119
115,119
115,119
115,119
115,119
117,121
117,121
119,121
119,121
119,121
117,121
117,121
116,121
116,121
116,121
118,121
118,121
117,121
117,121
117,121
116,122
116,122
117,122
117,122
117,122
117,122
117,123
117,122
117,122
117,121
116,122
116,122
116,122
116,122
116,123
116,125
116,124
117,124
117,125
117,125
116,125
116,125
117,124
117,124
117,124
118,124
118,124
120,124
120,124
120,124
121,126
121,126
119,126
119,126
119,126
120,126
120,126
120,127
120,126
120,126
120,126
120,126
122,126
122,126
122,126
121,128
121,128
120,128
120,128
120,128
121,128
121,128
121,128
121,128
121,128
122,130
122,130
123,129
123,129
123,128
123,130
123,130
123,129
123,130
123,130
122,130
122,129
122,130
122,130
122,129
122,130
122,130
122,130
122,130
122,132
121,132
121,132
121,132
121,132
121,132
121,133
121,132
120,131
120,131
120,133
120,132
120,131
122,132
122,133
122,133
122,133
122,134
122,135
122,134
122,134
121,134
121,134
123,134
123,134
123,134
123,133
123,134
120,135
120,134
120,134
120,134
120,137
120,136
120,136
120,137
120,137
120,137
120,135
120,136
120,137
120,137
120,137
120,134
120,134
