ns1:Value4,ns2:Watts
118,98
117,98
117,96
117,96
117,96
115,95
112,95
113,95
115,95
117,95
117,95
117,95
117,95
115,95
115,95
115,95
116,96
116,97
118,97
119,97
118,97
117,97
116,97
116,97
117,97
119,97
121,97
122,98
122,99
123,98
123,97
122,98
121,98
117,98
114,98
116,99
116,98
116,98
116,98
114,98
114,98
114,98
114,98
114,98
114,98
114,98
114,100
114,100
114,100
115,100
117,100
117,100
115,100
115,100
114,100
113,100
114,100
114,100
114,100
115,100
115,101
116,101
116,101
116,101
117,101
119,101
120,101
120,101
121,101
122,101
123,101
123,101
123,101
122,101
121,101
121,101
122,102
124,103
125,103
127,103
127,103
127,103
127,103
127,103
127,103
127,103
127,103
127,103
127,103
126,103
126,103
126,104
126,104
125,104
125,104
125,104
126,104
127,104
127,104
128,104
127,104
126,104
125,104
124,104
123,104
123,105
123,105
125,105
127,105
128,105
127,105
126,105
124,105
123,105
122,105
122,105
122,105
122,105
124,105
125,105
125,105
125,107
125,107
123,108
122,108
120,108
119,108
120,107
121,107
121,107
121,107
119,107
113,107
113,107
114,107
114,109
114,109
116,108
117,108
118,108
120,108
121,108
122,108
123,108
124,108
124,108
124,108
124,108
126,108
127,108
127,108
125,110
125,110
125,110
126,110
126,111
127,111
127,111
127,110
126,110
125,110
124,110
124,110
125,110
125,110
124,110
124,111
124,111
124,111
124,111
123,111
123,112
123,112
124,111
124,111
124,111
125,111
126,111
125,111
125,111
123,111
123,111
123,113
121,113
120,113
119,113
119,113
119,113
119,114
122,114
124,113
124,113
124,113
124,113
123,113
124,113
124,114
126,115
127,115
128,115
128,114
126,114
125,114
125,114
125,114
126,114
128,114
129,114
129,114
129,114
128,115
128,116
128,116
126,117
126,116
127,116
126,116
125,116
123,116
121,116
121,116
121,116
121,116
122,116
122,116
122,116
122,117
121,117
120,117
120,117
119,117
118,117
118,117
118,117
118,117
117,117
117,117
116,117
116,117
116,117
117,117
117,59
118,0
117,0
116,59
115,59
116,119
117,118
118,89
118,0
115,0
111,0
109,0
111,16
114,16
116,16
118,16
120,16
121,0
121,0
119,0
118,0
116,0
114,0
112,0
112,0
113,0
115,0
115,0
115,0
114,0
111,0
107,0
107,0
109,0
113,0
118,0
111,197
113,245
108,245
106,274
105,272
104,213
103,186
102,246
102,230
105,230
110,327
114,280
119,273
122,272
124,243
126,223
128,225
131,225
132,185
133,210
134,185
136,205
137,207
138,177
140,217
141,217
142,187
144,185
144,161
146,193
147,194
148,194
148,170
149,170
150,189
150,210
150,173
150,200
150,185
150,190
151,183
151,183
151,180
150,151
150,173
150,181
149,166
150,205
150,205
151,154
151,207
151,213
150,210
150,210
150,158
150,188
150,188
150,180
149,163
150,203
150,188
151,207
151,230
151,230
151,184
152,216
152,190
152,201
152,206
152,298
152,298
151,181
150,181
149,137
147,145
144,136
142,112
141,129
140,129
140,129
139,129
139,129
139,129
139,129
139,129
138,129
139,131
139,131
140,131
139,131
138,132
137,131
137,131
137,132
136,131
137,131
137,131
138,131
137,131
137,131
138,131
138,131
138,131
137,132
137,132
138,132
139,132
140,132
140,132
139,132
138,132
139,132
139,132
139,132
139,132
139,132
139,134
139,134
139,134
139,135
139,135
140,134
141,134
142,134
143,134
144,134
145,134
146,134
146,134
146,134
146,134
146,134
147,135
146,136
144,136
144,135
143,135
143,135
143,135
143,135
142,135
141,135
140,135
140,135
140,135
140,136
141,137
142,137
142,137
142,137
143,137
142,137
142,137
142,137
142,137
142,137
142,137
143,137
143,137
143,138
142,137
141,137
141,138
141,138
141,138
141,138
140,138
138,138
135,138
133,138
131,138
130,138
130,138
130,138
132,139
134,138
135,138
136,140
136,140
137,140
138,140
138,140
139,140
139,141
139,140
138,140
137,140
137,140
137,140
137,140
139,140
139,140
140,141
140,141
140,141
139,141
139,141
138,141
138,141
138,141
138,141
138,141
138,141
138,141
138,141
138,231
137,231
139,234
140,230
140,229
140,230
140,229
140,229
140,229
141,228
142,228
143,228
145,227
145,228
147,228
147,228
147,228
146,228
144,228
143,228
143,229
143,228
145,228
146,228
147,228
148,228
149,228
149,228
150,228
151,228
152,228
152,228
153,228
153,228
154,228
154,227
155,228
155,228
156,228
157,228
158,228
159,228
159,228
160,228
160,228
159,228
159,228
160,228
159,228
160,228
161,228
161,228
162,228
162,228
162,228
163,228
163,228
163,227
162,228
162,229
162,229
161,230
161,227
161,227
161,228
161,228
162,227
162,227
161,228
161,228
161,228
162,228
162,228
162,228
161,228
161,228
161,228
161,229
162,229
162,229
162,228
162,228
161,228
162,228
162,228
162,228
162,228
162,228
163,228
164,228
164,228
165,228
165,228
165,227
165,227
166,228
165,228
165,228
164,229
164,228
164,229
163,229
163,229
164,227
164,229
164,229
164,228
163,228
162,228
162,228
162,227
161,228
161,230
161,229
161,229
162,228
161,228
162,228
162,228
162,228
162,227
162,230
162,229
163,228
163,228
163,227
163,227
163,228
163,227
163,227
162,228
162,228
