ns1:Value4,ns2:Watts
104,85
103,87
102,89
102,90
102,87
103,63
103,63
103,63
103,0
103,0
104,0
104,0
104,0
102,0
102,48
103,48
104,69
104,39
105,39
105,35
105,42
106,42
106,42
107,42
107,53
108,53
108,53
109,50
109,46
109,46
109,50
109,50
110,50
110,59
111,59
111,57
112,57
112,59
113,65
114,91
115,91
116,92
117,92
117,92
119,92
120,100
121,95
122,91
122,92
122,92
122,98
121,99
121,99
121,89
121,89
121,92
122,94
122,93
122,94
122,96
122,97
122,96
121,96
121,94
121,94
121,97
121,97
121,95
122,97
122,97
122,96
123,97
123,97
123,97
124,97
124,96
124,96
124,96
125,105
125,105
125,97
125,96
125,96
125,95
124,95
123,94
123,94
121,94
120,98
118,102
118,102
117,101
117,98
116,99
116,99
115,99
115,99
115,103
115,99
115,97
116,98
116,97
116,99
115,101
115,103
114,102
114,100
114,100
115,100
115,99
117,99
118,102
118,102
119,76
120,76
121,78
122,110
121,101
121,101
122,101
123,102
124,103
126,102
127,102
127,102
128,103
128,103
130,101
130,101
132,103
132,103
133,103
134,101
134,101
135,104
135,105
136,105
137,105
137,105
138,105
138,103
138,103
139,104
139,102
139,103
139,104
138,105
138,104
138,104
138,105
139,105
139,107
138,105
139,105
139,113
139,107
138,101
138,103
137,103
136,106
136,107
135,106
135,106
135,107
134,106
134,108
134,109
134,109
135,107
133,106
132,106
131,108
132,106
132,106
132,106
132,104
132,106
132,108
132,106
131,106
130,108
130,110
131,109
131,109
131,111
131,111
131,110
132,111
132,110
132,108
132,109
132,109
133,107
133,107
133,109
134,119
134,119
134,119
133,109
133,109
132,110
131,109
131,109
131,108
129,97
127,91
126,128
125,147
125,147
125,115
126,112
125,112
125,112
126,110
126,110
126,111
127,111
126,111
126,111
127,117
127,117
127,108
127,108
128,112
129,112
130,113
130,113
131,113
132,113
133,114
133,114
133,113
133,113
134,113
134,114
135,113
135,114
136,114
136,114
137,116
138,116
138,116
138,117
138,118
138,115
138,115
137,115
137,117
137,117
137,115
137,115
137,117
137,117
137,117
138,118
138,118
138,118
139,116
138,116
138,115
139,116
138,117
139,118
138,116
138,116
138,115
138,116
138,120
138,120
138,128
138,128
138,117
138,114
136,115
135,123
134,121
133,121
133,120
133,120
132,115
132,117
