HR,Watts
84,58
86,58
88,57
92,56
94,57
97,56
99,56
99,56
99,56
98,56
98,56
99,56
100,56
100,56
99,56
98,56
98,58
100,60
101,60
102,60
101,60
100,61
100,61
100,60
100,60
101,60
102,60
104,60
105,60
107,61
108,61
109,46
109,48
110,64
110,64
108,64
108,64
108,64
108,64
109,64
110,64
110,64
110,64
109,64
109,64
107,64
106,64
106,68
106,68
106,68
105,68
105,68
104,68
102,68
102,68
102,69
102,69
103,68
104,68
106,51
106,68
105,70
105,72
105,72
105,72
105,72
105,72
105,72
105,72
105,72
105,72
105,72
105,72
105,72
105,72
104,72
104,74
103,76
103,76
102,76
102,76
101,76
101,76
101,76
101,76
101,77
101,76
101,76
99,76
99,76
99,76
98,76
98,78
97,79
97,80
98,80
98,80
98,80
96,80
95,80
94,80
94,80
95,81
96,80
97,79
97,79
97,82
96,84
95,85
95,84
94,84
95,84
95,84
97,84
99,84
99,84
98,83
96,83
95,84
94,84
94,85
94,85
96,88
98,88
100,87
100,88
101,88
100,88
99,87
96,88
95,88
95,89
96,88
97,88
97,88
97,88
97,89
96,92
96,93
96,92
97,93
97,92
98,91
100,92
101,93
100,92
100,92
100,92
100,92
101,92
102,92
102,92
101,94
101,96
100,97
100,97
100,96
101,96
102,96
103,96
105,96
105,96
104,95
104,95
102,96
102,96
101,99
101,100
102,100
102,100
102,100
101,100
100,100
98,101
98,101
96,100
96,100
97,100
98,99
100,100
100,100
101,101
101,104
101,105
101,104
102,106
103,106
104,104
106,104
107,104
108,104
109,104
109,104
110,104
110,104
110,104
111,105
111,108
111,107
110,108
109,108
109,108
109,108
109,108
109,108
109,108
109,108
109,110
109,109
107,109
106,108
105,108
105,111
105,111
105,112
105,113
106,112
106,111
106,112
106,112
106,112
106,112
107,112
107,112
107,113
108,112
109,112
109,116
109,116
108,117
108,117
108,115
107,116
107,117
108,116
108,116
108,117
108,116
109,115
109,116
109,116
110,118
109,120
109,120
109,122
110,119
110,119
111,119
112,120
113,120
114,120
115,120
115,120
115,121
115,121
114,120
114,121
114,125
115,124
116,125
117,123
117,124
118,124
117,124
117,124
115,125
114,124
113,123
113,124
113,125
114,125
116,124
117,127
117,128
116,128
116,129
116,129
117,131
117,129
118,128
118,128
119,127
119,127
120,128
121,127
121,131
120,127
119,131
117,135
115,133
113,132
112,131
111,129
111,130
110,132
110,134
110,133
111,132
111,132
111,132
110,130
110,133
110,134
110,137
111,135
111,135
112,136
113,136
114,135
116,136
117,137
117,136
116,135
115,136
116,135
116,134
116,136
116,142
116,140
117,141
117,141
119,140
120,140
122,140
124,140
124,139
124,140
123,139
122,139
121,140
121,140
121,140
122,144
122,144
122,143
123,144
123,145
123,146
124,146
124,144
123,143
123,143
123,143
123,144
123,143
123,144
122,147
122,148
122,149
121,149
122,149
122,149
122,147
122,147
121,146
121,147
120,149
119,148
118,149
119,149
119,148
120,149
121,154
122,153
123,152
123,152
123,152
123,151
123,150
123,151
124,153
124,152
124,152
125,153
125,152
125,152
125,153
125,155
125,157
124,156
125,116
124,38
124,29
124,29
123,29
121,0
122,0
122,0
123,0
123,0
122,0
122,0
122,0
121,0
120,0
120,0
120,97
120,97
119,173
119,165
119,184
120,160
121,126
122,160
123,159
123,158
124,161
124,163
124,162
124,163
124,164
123,164
124,163
124,164
124,163
125,163
125,162
125,162
126,162
127,160
127,160
127,164
127,167
127,171
127,187
127,206
127,207
128,213
128,212
129,213
129,211
130,209
131,212
131,211
132,208
132,212
132,222
133,219
134,210
135,208
135,207
136,210
137,210
137,211
138,210
138,210
138,210
137,210
137,210
138,210
138,216
138,216
138,215
139,210
139,136
140,112
140,110
141,111
141,112
141,111
141,111
140,111
140,110
140,111
140,111
140,111
140,111
141,111
140,112
139,112
137,112
136,110
135,111
135,111
134,111
134,112
134,111
134,111
133,111
133,111
133,111
134,111
134,111
134,111
133,114
133,117
133,234
133,234
133,233
134,233
134,237
135,235
136,235
137,235
138,234
139,233
140,233
142,233
142,233
143,235
144,233
144,232
145,235
145,234
145,237
145,233
146,234
147,234
147,234
148,234
148,233
149,233
149,233
149,233
150,232
150,231
149,83
149,111
148,110
148,110
148,110
148,110
148,110
148,111
148,112
148,111
147,111
145,110
144,111
143,112
143,110
142,110
142,110
141,111
141,111
139,112
139,111
137,111
136,111
135,111
134,111
133,111
133,113
132,112
132,112
132,112
132,117
133,226
133,257
134,257
134,257
135,256
136,259
137,255
139,256
140,258
142,255
143,255
145,255
145,256
146,257
147,255
148,255
148,255
149,254
149,258
150,255
151,257
152,255
152,255
153,256
154,259
154,256
155,257
155,256
155,256
156,258
156,191
157,0
157,0
157,0
157,0
157,0
157,0
157,81
157,109
157,111
156,112
155,111
153,112
151,113
150,113
148,113
147,112
144,112
142,111
141,111
140,111
141,111
142,110
142,111
143,111
143,111
144,111
143,111
144,111
144,111
144,111
144,111
145,110
145,110
145,111
144,110
144,111
143,110
142,111
140,111
138,111
137,112
135,111
135,112
135,111
135,110
134,110
134,110
134,113
133,113
133,112
132,110
130,110
131,111
131,112
131,112
129,111
127,110
125,111
123,111
123,111
123,111
123,112
123,111
123,111
123,111
122,111
122,111
122,111
122,111
121,112
121,112
121,111
120,111
121,111
121,111
122,111
124,111
124,111
123,111
122,111
120,111
120,111
119,111
119,111
120,112
120,111
120,111
120,111
120,111
120,110
119,111
118,112
118,111
118,112
118,112
119,112
119,111
120,111
120,112
121,112
121,112
121,110
121,111
121,111
121,111
121,110
120,111
120,112
120,111
120,110
120,110
121,111
121,112
120,111
120,111
120,111
120,111
120,111
120,111
120,110
121,111
121,111
121,112
121,111
122,111
122,111
122,111
122,111
121,110
121,111
121,111
120,111
120,111
120,111
120,111
120,111
120,112
120,111
120,111
119,111
119,112
119,112
118,111
117,111
117,112
118,111
119,110
119,110
120,111
120,111
120,111
120,111
120,177
120,198
121,199
121,198
122,202
123,203
123,199
124,199
125,198
125,198
125,201
126,199
127,199
127,199
127,197
127,198
127,201
127,202
128,201
128,200
128,199
128,199
128,199
128,198
128,201
129,201
129,198
130,199
131,204
132,200
133,201
135,205
136,203
137,199
137,198
137,198
137,200
137,198
137,200
138,200
138,200
137,200
137,200
137,199
138,199
138,200
138,203
138,203
139,200
139,199
140,200
140,200
141,202
142,200
142,198
142,199
141,201
141,201
141,200
141,205
141,199
141,197
141,197
141,198
141,201
141,200
140,202
140,201
140,201
140,200
140,199
140,198
140,199
140,201
141,202
141,202
141,200
142,200
143,200
144,199
144,200
145,199
144,199
143,202
143,199
144,199
143,201
143,200
141,199
141,201
141,202
141,200
141,200
142,200
144,197
144,200
146,201
147,200
147,200
148,204
149,203
150,202
151,201
152,200
153,201
153,201
154,198
154,198
154,198
154,200
154,199
154,202
154,201
154,200
153,200
153,199
153,201
154,203
154,200
154,200
154,199
154,200
153,201
153,199
153,199
153,201
152,200
153,199
152,199
152,202
153,201
153,199
151,204
151,199
151,198
150,198
149,199
147,201
147,199
144,198
143,200
142,202
142,204
142,200
142,200
143,201
144,202
144,201
145,199
145,199
146,200
146,200
147,200
147,200
148,201
148,200
149,200
148,198
147,200
145,200
145,198
144,201
144,201
144,199
144,199
145,202
145,200
145,201
146,199
146,199
146,198
146,199
145,200
145,200
144,199
143,198
143,199
143,201
143,200
142,199
142,200
142,200
141,201
141,202
141,199
141,199
141,200
141,203
141,201
142,199
142,202
142,201
142,199
143,200
143,200
143,199
144,201
144,200
145,201
145,200
146,199
147,199
147,200
148,200
148,199
148,201
146,199
145,200
144,200
144,200
144,203
145,201
145,198
146,199
146,200
146,199
146,199
147,200
147,199
147,200
147,201
147,201
148,201
148,201
148,200
149,199
148,199
148,200
148,199
148,198
148,200
147,201
147,200
146,201
146,201
146,199
146,199
146,201
146,201
145,200
145,199
146,199
146,195
147,199
147,197
148,198
149,196
149,197
149,197
150,198
150,199
151,198
151,199
151,200
151,202
150,203
151,200
151,198
152,196
152,199
153,200
153,206
153,204
153,201
153,200
153,197
154,197
154,200
155,199
155,199
155,199
155,203
155,202
155,197
155,198
156,201
156,201
157,197
157,196
157,199
157,204
158,205
158,200
158,200
158,201
158,206
158,202
158,197
159,199
159,200
159,198
159,195
158,201
158,200
158,198
158,203
158,207
158,203
159,202
159,202
159,203
